197.769583 27.468611|19.98|18.69|17.45|16.99|16.71|0.23992|Sy2      |HII
200.555833 21.789167|17.20|16.62|16.25|15.78|15.74|0.08519|-        |Sy1.8
203.222083 02.012500|18.86|18.37|17.63|17.10|16.94|0.21582|Sy1      |Sy1.5/LINER
203.656250 56.530000|18.40|18.38|18.34|18.37|17.83|0.34262|Sy1/BZQ  |Sy1.2
204.572083 48.276111|15.78|14.43|13.84|13.44|13.12|0.02758|Sy2      |HII
204.574167 48.277778|15.77|14.49|13.84|13.54|13.29|0.02770|LINER    |LINER
205.395417 53.745278|19.33|17.72|16.67|16.18|15.86|0.14094|AGN      |Sy1.9/LINER
205.681667 05.075833|18.52|17.37|16.43|15.99|15.65|0.13648|Sy1      |LINER
206.175417 55.886944|16.58|14.98|14.30|13.85|13.70|0.03734|Sy2      |LINER
206.182500 55.050000|19.15|17.12|15.96|15.48|15.17|0.15291|AGN      |Sy2.0/LINER
206.438333 53.547500|18.08|17.65|17.01|16.47|16.32|0.13561|Sy1      |NLS1.2
206.573333 62.346111|17.14|16.88|16.50|15.98|15.96|0.11618|Sy1      |Sy1.5
208.075000 31.446111|16.86|15.06|14.13|13.62|13.26|0.04519|LINER    |LINER
208.213333 65.686944|17.92|17.17|16.36|16.08|16.12|0.20644|Sy2      |Sy2.0/HII
210.631667 02.262778|19.44|17.91|16.94|16.56|16.30|0.17965|Sy2.0    |Sy2.0
218.166250 36.302500|15.45|13.56|12.49|11.98|11.55|0.01325|LINER    |Em
220.761250 52.026944|18.55|17.57|16.67|16.10|15.90|0.14121|Sy1.5    |Sy1.5/LINER
222.340000 63.270556|16.12|14.28|13.52|13.12|12.86|0.04168|Sy2      |LINER
225.914583 10.267500|19.86|17.86|16.89|16.40|16.09|0.09511|Sy2      |LINER/HII
228.065833 02.054444|19.12|18.44|17.65|17.20|16.90|0.21985|Sy1/BZG  |Sy1.9/LINER
228.416667 26.124167|20.00|17.87|16.83|16.39|16.01|0.10853|Sy2      |Abs
229.167500 00.250556|17.23|15.68|14.80|14.33|14.00|0.05259|LINER/BZG|LINER
229.185417 07.021389|15.72|13.66|12.76|12.33|12.01|0.03453|Sy2      |LINER
229.288333 33.890000|18.68|16.89|15.75|15.19|15.05|0.13515|Sy2      |LINER
229.525833 42.745278|16.28|15.30|14.76|14.32|14.01|0.04027|LINER    |HII
231.525417 41.670833|15.44|13.76|12.89|12.66|12.17|0.00829|LINER    |LINER
232.425833 35.147500|18.37|18.57|18.06|17.89|16.97|0.28712|-        |Sy1.2
233.418333 35.739167|18.63|18.52|18.23|17.78|17.78|0.15637|Sy1      |Sy1.5
239.865417 53.515000|20.42|18.63|17.54|17.17|16.88|0.17921|Sy2      |LINER
240.693333 52.732778|18.27|16.62|15.69|15.15|14.86|0.10569|Sy1      |AGN
241.327083 37.948056|17.31|17.19|17.06|16.83|16.93|0.20096|Sy1n/AGN |NLS1.5
243.582083 50.465556|17.44|15.48|14.46|14.00|13.71|0.06026|Sy2      |LINER
244.427917 32.376111|18.25|17.50|16.81|16.07|16.12|0.15100|Sy1      |Sy1.5
250.952500 17.263333|18.70|17.27|16.14|15.65|15.25|0.16300|Sy2      |LINER
258.344167 32.941111|17.90|17.22|16.64|16.15|15.93|0.10158|Sy1      |NLS1.5
263.099167 55.414722|18.15|16.11|15.14|14.68|14.34|0.06187|Sy?      |Em
353.305000 00.820000|19.45|18.07|17.12|16.66|16.49|0.16990|Sy2      |Sy2.0/LINER
358.934167 30.212500|16.53|14.79|14.09|13.67|13.36|0.03070|Sy2      |LINER
