Beta (v/c)	 Gamma 
0.1177		 1.007 
0.1178		 1.00701 
0.1179		 1.00702 
0.118		 1.00704 
0.1181		 1.00705 
0.1182		 1.00706 
0.1183		 1.00707 
0.1184		 1.00708 
0.1185		 1.0071 
0.1186		 1.00711 
0.1187		 1.00712 
0.1188		 1.00713 
0.1189		 1.00714 
0.119		 1.00716 
0.1191		 1.00717 
0.1192		 1.00718 
0.1193		 1.00719 
0.1194		 1.00721 
0.1195		 1.00722 
0.1196		 1.00723 
0.1197		 1.00724 
0.1198		 1.00725 
0.1199		 1.00727 
0.12		 1.00728 
0.1201		 1.00729 
0.1202		 1.0073 
0.1203		 1.00732 
0.1204		 1.00733 
0.1205		 1.00734 
0.1206		 1.00735 
0.1207		 1.00736 
0.1208		 1.00738 
0.1209		 1.00739 
0.121		 1.0074 
0.1211		 1.00741 
0.1212		 1.00743 
0.1213		 1.00744 
0.1214		 1.00745 
0.1215		 1.00746 
0.1216		 1.00748 
0.1217		 1.00749 
0.1218		 1.0075 
0.1219		 1.00751 
0.122		 1.00753 
0.1221		 1.00754 
0.1222		 1.00755 
0.1223		 1.00756 
0.1224		 1.00758 
0.1225		 1.00759 
0.1226		 1.0076 
0.1227		 1.00761 
0.1228		 1.00763 
0.1229		 1.00764 
0.123		 1.00765 
0.1231		 1.00766 
0.1232		 1.00768 
0.1233		 1.00769 
0.1234		 1.0077 
0.1235		 1.00771 
0.1236		 1.00773 
0.1237		 1.00774 
0.1238		 1.00775 
0.1239		 1.00777 
0.124		 1.00778 
0.1241		 1.00779 
0.1242		 1.0078 
0.1243		 1.00782 
0.1244		 1.00783 
0.1245		 1.00784 
0.1246		 1.00785 
0.1247		 1.00787 
0.1248		 1.00788 
0.1249		 1.00789 
0.125		 1.00791 
0.1251		 1.00792 
0.1252		 1.00793 
0.1253		 1.00794 
0.1254		 1.00796 
0.1255		 1.00797 
0.1256		 1.00798 
0.1257		 1.008 
0.1258		 1.00801 
0.1259		 1.00802 
0.126		 1.00803 
0.1261		 1.00805 
0.1262		 1.00806 
0.1263		 1.00807 
0.1264		 1.00809 
0.1265		 1.0081 
0.1266		 1.00811 
0.1267		 1.00812 
0.1268		 1.00814 
0.1269		 1.00815 
0.127		 1.00816 
0.1271		 1.00818 
0.1272		 1.00819 
0.1273		 1.0082 
0.1274		 1.00822 
0.1275		 1.00823 
0.1276		 1.00824 
0.1277		 1.00825 
0.1278		 1.00827 
0.1279		 1.00828 
0.128		 1.00829 
0.1281		 1.00831 
0.1282		 1.00832 
0.1283		 1.00833 
0.1284		 1.00835 
0.1285		 1.00836 
0.1286		 1.00837 
0.1287		 1.00839 
0.1288		 1.0084 
0.1289		 1.00841 
0.129		 1.00843 
0.1291		 1.00844 
0.1292		 1.00845 
0.1293		 1.00847 
0.1294		 1.00848 
0.1295		 1.00849 
0.1296		 1.00851 
0.1297		 1.00852 
0.1298		 1.00853 
0.1299		 1.00855 
0.13		 1.00856 
0.1301		 1.00857 
0.1302		 1.00859 
0.1303		 1.0086 
0.1304		 1.00861 
0.1305		 1.00863 
0.1306		 1.00864 
0.1307		 1.00865 
0.1308		 1.00867 
0.1309		 1.00868 
0.131		 1.00869 
0.1311		 1.00871 
0.1312		 1.00872 
0.1313		 1.00873 
0.1314		 1.00875 
0.1315		 1.00876 
0.1316		 1.00877 
0.1317		 1.00879 
0.1318		 1.0088 
0.1319		 1.00881 
0.132		 1.00883 
0.1321		 1.00884 
0.1322		 1.00885 
0.1323		 1.00887 
0.1324		 1.00888 
0.1325		 1.0089 
0.1326		 1.00891 
0.1327		 1.00892 
0.1328		 1.00894 
0.1329		 1.00895 
0.133		 1.00896 
0.1331		 1.00898 
0.1332		 1.00899 
0.1333		 1.009 
0.1334		 1.00902 
0.1335		 1.00903 
0.1336		 1.00905 
0.1337		 1.00906 
0.1338		 1.00907 
0.1339		 1.00909 
0.134		 1.0091 
0.1341		 1.00911 
0.1342		 1.00913 
0.1343		 1.00914 
0.1344		 1.00916 
0.1345		 1.00917 
0.1346		 1.00918 
0.1347		 1.0092 
0.1348		 1.00921 
0.1349		 1.00923 
0.135		 1.00924 
0.1351		 1.00925 
0.1352		 1.00927 
0.1353		 1.00928 
0.1354		 1.00929 
0.1355		 1.00931 
0.1356		 1.00932 
0.1357		 1.00934 
0.1358		 1.00935 
0.1359		 1.00936 
0.136		 1.00938 
0.1361		 1.00939 
0.1362		 1.00941 
0.1363		 1.00942 
0.1364		 1.00943 
0.1365		 1.00945 
0.1366		 1.00946 
0.1367		 1.00948 
0.1368		 1.00949 
0.1369		 1.0095 
0.137		 1.00952 
0.1371		 1.00953 
0.1372		 1.00955 
0.1373		 1.00956 
0.1374		 1.00958 
0.1375		 1.00959 
0.1376		 1.0096 
0.1377		 1.00962 
0.1378		 1.00963 
0.1379		 1.00965 
0.138		 1.00966 
0.1381		 1.00967 
0.1382		 1.00969 
0.1383		 1.0097 
0.1384		 1.00972 
0.1385		 1.00973 
0.1386		 1.00975 
0.1387		 1.00976 
0.1388		 1.00977 
0.1389		 1.00979 
0.139		 1.0098 
0.1391		 1.00982 
0.1392		 1.00983 
0.1393		 1.00985 
0.1394		 1.00986 
0.1395		 1.00987 
0.1396		 1.00989 
0.1397		 1.0099 
0.1398		 1.00992 
0.1399		 1.00993 
0.14		 1.00995 
0.1401		 1.00996 
0.1402		 1.00998 
0.1403		 1.00999 
0.1404		 1.01 
0.1405		 1.01002 
0.1406		 1.01003 
0.1407		 1.01005 
0.1408		 1.01006 
0.1409		 1.01008 
0.141		 1.01009 
0.1411		 1.01011 
0.1412		 1.01012 
0.1413		 1.01013 
0.1414		 1.01015 
0.1415		 1.01016 
0.1416		 1.01018 
0.1417		 1.01019 
0.1418		 1.01021 
0.1419		 1.01022 
0.142		 1.01024 
0.1421		 1.01025 
0.1422		 1.01027 
0.1423		 1.01028 
0.1424		 1.0103 
0.1425		 1.01031 
0.1426		 1.01033 
0.1427		 1.01034 
0.1428		 1.01035 
0.1429		 1.01037 
0.143		 1.01038 
0.1431		 1.0104 
0.1432		 1.01041 
0.1433		 1.01043 
0.1434		 1.01044 
0.1435		 1.01046 
0.1436		 1.01047 
0.1437		 1.01049 
0.1438		 1.0105 
0.1439		 1.01052 
0.144		 1.01053 
0.1441		 1.01055 
0.1442		 1.01056 
0.1443		 1.01058 
0.1444		 1.01059 
0.1445		 1.01061 
0.1446		 1.01062 
0.1447		 1.01064 
0.1448		 1.01065 
0.1449		 1.01067 
0.145		 1.01068 
0.1451		 1.0107 
0.1452		 1.01071 
0.1453		 1.01073 
0.1454		 1.01074 
0.1455		 1.01076 
0.1456		 1.01077 
0.1457		 1.01079 
0.1458		 1.0108 
0.1459		 1.01082 
0.146		 1.01083 
0.1461		 1.01085 
0.1462		 1.01086 
0.1463		 1.01088 
0.1464		 1.01089 
0.1465		 1.01091 
0.1466		 1.01092 
0.1467		 1.01094 
0.1468		 1.01095 
0.1469		 1.01097 
0.147		 1.01098 
0.1471		 1.011 
0.1472		 1.01101 
0.1473		 1.01103 
0.1474		 1.01104 
0.1475		 1.01106 
0.1476		 1.01107 
0.1477		 1.01109 
0.1478		 1.0111 
0.1479		 1.01112 
0.148		 1.01114 
0.1481		 1.01115 
0.1482		 1.01117 
0.1483		 1.01118 
0.1484		 1.0112 
0.1485		 1.01121 
0.1486		 1.01123 
0.1487		 1.01124 
0.1488		 1.01126 
0.1489		 1.01127 
0.149		 1.01129 
0.1491		 1.0113 
0.1492		 1.01132 
0.1493		 1.01134 
0.1494		 1.01135 
0.1495		 1.01137 
0.1496		 1.01138 
0.1497		 1.0114 
0.1498		 1.01141 
0.1499		 1.01143 
0.15		 1.01144 
0.1501		 1.01146 
0.1502		 1.01147 
0.1503		 1.01149 
0.1504		 1.01151 
0.1505		 1.01152 
0.1506		 1.01154 
0.1507		 1.01155 
0.1508		 1.01157 
0.1509		 1.01158 
0.151		 1.0116 
0.1511		 1.01161 
0.1512		 1.01163 
0.1513		 1.01165 
0.1514		 1.01166 
0.1515		 1.01168 
0.1516		 1.01169 
0.1517		 1.01171 
0.1518		 1.01172 
0.1519		 1.01174 
0.152		 1.01176 
0.1521		 1.01177 
0.1522		 1.01179 
0.1523		 1.0118 
0.1524		 1.01182 
0.1525		 1.01183 
0.1526		 1.01185 
0.1527		 1.01187 
0.1528		 1.01188 
0.1529		 1.0119 
0.153		 1.01191 
0.1531		 1.01193 
0.1532		 1.01195 
0.1533		 1.01196 
0.1534		 1.01198 
0.1535		 1.01199 
0.1536		 1.01201 
0.1537		 1.01203 
0.1538		 1.01204 
0.1539		 1.01206 
0.154		 1.01207 
0.1541		 1.01209 
0.1542		 1.01211 
0.1543		 1.01212 
0.1544		 1.01214 
0.1545		 1.01215 
0.1546		 1.01217 
0.1547		 1.01219 
0.1548		 1.0122 
0.1549		 1.01222 
0.155		 1.01223 
0.1551		 1.01225 
0.1552		 1.01227 
0.1553		 1.01228 
0.1554		 1.0123 
0.1555		 1.01231 
0.1556		 1.01233 
0.1557		 1.01235 
0.1558		 1.01236 
0.1559		 1.01238 
0.156		 1.01239 
0.1561		 1.01241 
0.1562		 1.01243 
0.1563		 1.01244 
0.1564		 1.01246 
0.1565		 1.01248 
0.1566		 1.01249 
0.1567		 1.01251 
0.1568		 1.01252 
0.1569		 1.01254 
0.157		 1.01256 
0.1571		 1.01257 
0.1572		 1.01259 
0.1573		 1.01261 
0.1574		 1.01262 
0.1575		 1.01264 
0.1576		 1.01266 
0.1577		 1.01267 
0.1578		 1.01269 
0.1579		 1.0127 
0.158		 1.01272 
0.1581		 1.01274 
0.1582		 1.01275 
0.1583		 1.01277 
0.1584		 1.01279 
0.1585		 1.0128 
0.1586		 1.01282 
0.1587		 1.01284 
0.1588		 1.01285 
0.1589		 1.01287 
0.159		 1.01289 
0.1591		 1.0129 
0.1592		 1.01292 
0.1593		 1.01293 
0.1594		 1.01295 
0.1595		 1.01297 
0.1596		 1.01298 
0.1597		 1.013 
0.1598		 1.01302 
0.1599		 1.01303 
0.16		 1.01305 
0.1601		 1.01307 
0.1602		 1.01308 
0.1603		 1.0131 
0.1604		 1.01312 
0.1605		 1.01313 
0.1606		 1.01315 
0.1607		 1.01317 
0.1608		 1.01318 
0.1609		 1.0132 
0.161		 1.01322 
0.1611		 1.01323 
0.1612		 1.01325 
0.1613		 1.01327 
0.1614		 1.01329 
0.1615		 1.0133 
0.1616		 1.01332 
0.1617		 1.01334 
0.1618		 1.01335 
0.1619		 1.01337 
0.162		 1.01339 
0.1621		 1.0134 
0.1622		 1.01342 
0.1623		 1.01344 
0.1624		 1.01345 
0.1625		 1.01347 
0.1626		 1.01349 
0.1627		 1.0135 
0.1628		 1.01352 
0.1629		 1.01354 
0.163		 1.01356 
0.1631		 1.01357 
0.1632		 1.01359 
0.1633		 1.01361 
0.1634		 1.01362 
0.1635		 1.01364 
0.1636		 1.01366 
0.1637		 1.01367 
0.1638		 1.01369 
0.1639		 1.01371 
0.164		 1.01373 
0.1641		 1.01374 
0.1642		 1.01376 
0.1643		 1.01378 
0.1644		 1.01379 
0.1645		 1.01381 
0.1646		 1.01383 
0.1647		 1.01385 
0.1648		 1.01386 
0.1649		 1.01388 
0.165		 1.0139 
0.1651		 1.01391 
0.1652		 1.01393 
0.1653		 1.01395 
0.1654		 1.01397 
0.1655		 1.01398 
0.1656		 1.014 
0.1657		 1.01402 
0.1658		 1.01403 
0.1659		 1.01405 
0.166		 1.01407 
0.1661		 1.01409 
0.1662		 1.0141 
0.1663		 1.01412 
0.1664		 1.01414 
0.1665		 1.01416 
0.1666		 1.01417 
0.1667		 1.01419 
0.1668		 1.01421 
0.1669		 1.01423 
0.167		 1.01424 
0.1671		 1.01426 
0.1672		 1.01428 
0.1673		 1.0143 
0.1674		 1.01431 
0.1675		 1.01433 
0.1676		 1.01435 
0.1677		 1.01437 
0.1678		 1.01438 
0.1679		 1.0144 
0.168		 1.01442 
0.1681		 1.01444 
0.1682		 1.01445 
0.1683		 1.01447 
0.1684		 1.01449 
0.1685		 1.01451 
0.1686		 1.01452 
0.1687		 1.01454 
0.1688		 1.01456 
0.1689		 1.01458 
0.169		 1.01459 
0.1691		 1.01461 
0.1692		 1.01463 
0.1693		 1.01465 
0.1694		 1.01466 
0.1695		 1.01468 
0.1696		 1.0147 
0.1697		 1.01472 
0.1698		 1.01474 
0.1699		 1.01475 
0.17		 1.01477 
0.1701		 1.01479 
0.1702		 1.01481 
0.1703		 1.01482 
0.1704		 1.01484 
0.1705		 1.01486 
0.1706		 1.01488 
0.1707		 1.0149 
0.1708		 1.01491 
0.1709		 1.01493 
0.171		 1.01495 
0.1711		 1.01497 
0.1712		 1.01498 
0.1713		 1.015 
0.1714		 1.01502 
0.1715		 1.01504 
0.1716		 1.01506 
0.1717		 1.01507 
0.1718		 1.01509 
0.1719		 1.01511 
0.172		 1.01513 
0.1721		 1.01515 
0.1722		 1.01516 
0.1723		 1.01518 
0.1724		 1.0152 
0.1725		 1.01522 
0.1726		 1.01524 
0.1727		 1.01525 
0.1728		 1.01527 
0.1729		 1.01529 
0.173		 1.01531 
0.1731		 1.01533 
0.1732		 1.01535 
0.1733		 1.01536 
0.1734		 1.01538 
0.1735		 1.0154 
0.1736		 1.01542 
0.1737		 1.01544 
0.1738		 1.01545 
0.1739		 1.01547 
0.174		 1.01549 
0.1741		 1.01551 
0.1742		 1.01553 
0.1743		 1.01555 
0.1744		 1.01556 
0.1745		 1.01558 
0.1746		 1.0156 
0.1747		 1.01562 
0.1748		 1.01564 
0.1749		 1.01566 
0.175		 1.01567 
0.1751		 1.01569 
0.1752		 1.01571 
0.1753		 1.01573 
0.1754		 1.01575 
0.1755		 1.01577 
0.1756		 1.01578 
0.1757		 1.0158 
0.1758		 1.01582 
0.1759		 1.01584 
0.176		 1.01586 
0.1761		 1.01588 
0.1762		 1.01589 
0.1763		 1.01591 
0.1764		 1.01593 
0.1765		 1.01595 
0.1766		 1.01597 
0.1767		 1.01599 
0.1768		 1.01601 
0.1769		 1.01602 
0.177		 1.01604 
0.1771		 1.01606 
0.1772		 1.01608 
0.1773		 1.0161 
0.1774		 1.01612 
0.1775		 1.01614 
0.1776		 1.01615 
0.1777		 1.01617 
0.1778		 1.01619 
0.1779		 1.01621 
0.178		 1.01623 
0.1781		 1.01625 
0.1782		 1.01627 
0.1783		 1.01628 
0.1784		 1.0163 
0.1785		 1.01632 
0.1786		 1.01634 
0.1787		 1.01636 
0.1788		 1.01638 
0.1789		 1.0164 
0.179		 1.01642 
0.1791		 1.01643 
0.1792		 1.01645 
0.1793		 1.01647 
0.1794		 1.01649 
0.1795		 1.01651 
0.1796		 1.01653 
0.1797		 1.01655 
0.1798		 1.01657 
0.1799		 1.01659 
0.18		 1.0166 
0.1801		 1.01662 
0.1802		 1.01664 
0.1803		 1.01666 
0.1804		 1.01668 
0.1805		 1.0167 
0.1806		 1.01672 
0.1807		 1.01674 
0.1808		 1.01676 
0.1809		 1.01678 
0.181		 1.01679 
0.1811		 1.01681 
0.1812		 1.01683 
0.1813		 1.01685 
0.1814		 1.01687 
0.1815		 1.01689 
0.1816		 1.01691 
0.1817		 1.01693 
0.1818		 1.01695 
0.1819		 1.01697 
0.182		 1.01699 
0.1821		 1.017 
0.1822		 1.01702 
0.1823		 1.01704 
0.1824		 1.01706 
0.1825		 1.01708 
0.1826		 1.0171 
0.1827		 1.01712 
0.1828		 1.01714 
0.1829		 1.01716 
0.183		 1.01718 
0.1831		 1.0172 
0.1832		 1.01722 
0.1833		 1.01723 
0.1834		 1.01725 
0.1835		 1.01727 
0.1836		 1.01729 
0.1837		 1.01731 
0.1838		 1.01733 
0.1839		 1.01735 
0.184		 1.01737 
0.1841		 1.01739 
0.1842		 1.01741 
0.1843		 1.01743 
0.1844		 1.01745 
0.1845		 1.01747 
0.1846		 1.01749 
0.1847		 1.01751 
0.1848		 1.01753 
0.1849		 1.01755 
0.185		 1.01756 
0.1851		 1.01758 
0.1852		 1.0176 
0.1853		 1.01762 
0.1854		 1.01764 
0.1855		 1.01766 
0.1856		 1.01768 
0.1857		 1.0177 
0.1858		 1.01772 
0.1859		 1.01774 
0.186		 1.01776 
0.1861		 1.01778 
0.1862		 1.0178 
0.1863		 1.01782 
0.1864		 1.01784 
0.1865		 1.01786 
0.1866		 1.01788 
0.1867		 1.0179 
0.1868		 1.01792 
0.1869		 1.01794 
0.187		 1.01796 
0.1871		 1.01798 
0.1872		 1.018 
0.1873		 1.01802 
0.1874		 1.01804 
0.1875		 1.01806 
0.1876		 1.01808 
0.1877		 1.0181 
0.1878		 1.01812 
0.1879		 1.01813 
0.188		 1.01815 
0.1881		 1.01817 
0.1882		 1.01819 
0.1883		 1.01821 
0.1884		 1.01823 
0.1885		 1.01825 
0.1886		 1.01827 
0.1887		 1.01829 
0.1888		 1.01831 
0.1889		 1.01833 
0.189		 1.01835 
0.1891		 1.01837 
0.1892		 1.01839 
0.1893		 1.01841 
0.1894		 1.01843 
0.1895		 1.01845 
0.1896		 1.01847 
0.1897		 1.01849 
0.1898		 1.01851 
0.1899		 1.01853 
0.19		 1.01855 
0.1901		 1.01857 
0.1902		 1.01859 
0.1903		 1.01861 
0.1904		 1.01863 
0.1905		 1.01865 
0.1906		 1.01867 
0.1907		 1.01869 
0.1908		 1.01871 
0.1909		 1.01874 
0.191		 1.01876 
0.1911		 1.01878 
0.1912		 1.0188 
0.1913		 1.01882 
0.1914		 1.01884 
0.1915		 1.01886 
0.1916		 1.01888 
0.1917		 1.0189 
0.1918		 1.01892 
0.1919		 1.01894 
0.192		 1.01896 
0.1921		 1.01898 
0.1922		 1.019 
0.1923		 1.01902 
0.1924		 1.01904 
0.1925		 1.01906 
0.1926		 1.01908 
0.1927		 1.0191 
0.1928		 1.01912 
0.1929		 1.01914 
0.193		 1.01916 
0.1931		 1.01918 
0.1932		 1.0192 
0.1933		 1.01922 
0.1934		 1.01924 
0.1935		 1.01926 
0.1936		 1.01928 
0.1937		 1.0193 
0.1938		 1.01933 
0.1939		 1.01935 
0.194		 1.01937 
0.1941		 1.01939 
0.1942		 1.01941 
0.1943		 1.01943 
0.1944		 1.01945 
0.1945		 1.01947 
0.1946		 1.01949 
0.1947		 1.01951 
0.1948		 1.01953 
0.1949		 1.01955 
0.195		 1.01957 
0.1951		 1.01959 
0.1952		 1.01961 
0.1953		 1.01963 
0.1954		 1.01966 
0.1955		 1.01968 
0.1956		 1.0197 
0.1957		 1.01972 
0.1958		 1.01974 
0.1959		 1.01976 
0.196		 1.01978 
0.1961		 1.0198 
0.1962		 1.01982 
0.1963		 1.01984 
0.1964		 1.01986 
0.1965		 1.01988 
0.1966		 1.0199 
0.1967		 1.01993 
0.1968		 1.01995 
0.1969		 1.01997 
0.197		 1.01999 
0.1971		 1.02001 
0.1972		 1.02003 
0.1973		 1.02005 
0.1974		 1.02007 
0.1975		 1.02009 
0.1976		 1.02011 
0.1977		 1.02013 
0.1978		 1.02016 
0.1979		 1.02018 
0.198		 1.0202 
0.1981		 1.02022 
0.1982		 1.02024 
0.1983		 1.02026 
0.1984		 1.02028 
0.1985		 1.0203 
0.1986		 1.02032 
0.1987		 1.02035 
0.1988		 1.02037 
0.1989		 1.02039 
0.199		 1.02041 
0.1991		 1.02043 
0.1992		 1.02045 
0.1993		 1.02047 
0.1994		 1.02049 
0.1995		 1.02051 
0.1996		 1.02054 
0.1997		 1.02056 
0.1998		 1.02058 
0.1999		 1.0206 
0.2		 1.02062 
0.2001		 1.02064 
0.2002		 1.02066 
0.2003		 1.02068 
0.2004		 1.02071 
0.2005		 1.02073 
0.2006		 1.02075 
0.2007		 1.02077 
0.2008		 1.02079 
0.2009		 1.02081 
0.201		 1.02083 
0.2011		 1.02086 
0.2012		 1.02088 
0.2013		 1.0209 
0.2014		 1.02092 
0.2015		 1.02094 
0.2016		 1.02096 
0.2017		 1.02098 
0.2018		 1.02101 
0.2019		 1.02103 
0.202		 1.02105 
0.2021		 1.02107 
0.2022		 1.02109 
0.2023		 1.02111 
0.2024		 1.02113 
0.2025		 1.02116 
0.2026		 1.02118 
0.2027		 1.0212 
0.2028		 1.02122 
0.2029		 1.02124 
0.203		 1.02126 
0.2031		 1.02129 
0.2032		 1.02131 
0.2033		 1.02133 
0.2034		 1.02135 
0.2035		 1.02137 
0.2036		 1.02139 
0.2037		 1.02142 
0.2038		 1.02144 
0.2039		 1.02146 
0.204		 1.02148 
0.2041		 1.0215 
0.2042		 1.02152 
0.2043		 1.02155 
0.2044		 1.02157 
0.2045		 1.02159 
0.2046		 1.02161 
0.2047		 1.02163 
0.2048		 1.02166 
0.2049		 1.02168 
0.205		 1.0217 
0.2051		 1.02172 
0.2052		 1.02174 
0.2053		 1.02176 
0.2054		 1.02179 
0.2055		 1.02181 
0.2056		 1.02183 
0.2057		 1.02185 
0.2058		 1.02187 
0.2059		 1.0219 
0.206		 1.02192 
0.2061		 1.02194 
0.2062		 1.02196 
0.2063		 1.02198 
0.2064		 1.02201 
0.2065		 1.02203 
0.2066		 1.02205 
0.2067		 1.02207 
0.2068		 1.02209 
0.2069		 1.02212 
0.207		 1.02214 
0.2071		 1.02216 
0.2072		 1.02218 
0.2073		 1.0222 
0.2074		 1.02223 
0.2075		 1.02225 
0.2076		 1.02227 
0.2077		 1.02229 
0.2078		 1.02232 
0.2079		 1.02234 
0.208		 1.02236 
0.2081		 1.02238 
0.2082		 1.0224 
0.2083		 1.02243 
0.2084		 1.02245 
0.2085		 1.02247 
0.2086		 1.02249 
0.2087		 1.02252 
0.2088		 1.02254 
0.2089		 1.02256 
0.209		 1.02258 
0.2091		 1.02261 
0.2092		 1.02263 
0.2093		 1.02265 
0.2094		 1.02267 
0.2095		 1.02269 
0.2096		 1.02272 
0.2097		 1.02274 
0.2098		 1.02276 
0.2099		 1.02278 
0.21		 1.02281 
0.2101		 1.02283 
0.2102		 1.02285 
0.2103		 1.02287 
0.2104		 1.0229 
0.2105		 1.02292 
0.2106		 1.02294 
0.2107		 1.02296 
0.2108		 1.02299 
0.2109		 1.02301 
0.211		 1.02303 
0.2111		 1.02306 
0.2112		 1.02308 
0.2113		 1.0231 
0.2114		 1.02312 
0.2115		 1.02315 
0.2116		 1.02317 
0.2117		 1.02319 
0.2118		 1.02321 
0.2119		 1.02324 
0.212		 1.02326 
0.2121		 1.02328 
0.2122		 1.0233 
0.2123		 1.02333 
0.2124		 1.02335 
0.2125		 1.02337 
0.2126		 1.0234 
0.2127		 1.02342 
0.2128		 1.02344 
0.2129		 1.02346 
0.213		 1.02349 
0.2131		 1.02351 
0.2132		 1.02353 
0.2133		 1.02356 
0.2134		 1.02358 
0.2135		 1.0236 
0.2136		 1.02362 
0.2137		 1.02365 
0.2138		 1.02367 
0.2139		 1.02369 
0.214		 1.02372 
0.2141		 1.02374 
0.2142		 1.02376 
0.2143		 1.02378 
0.2144		 1.02381 
0.2145		 1.02383 
0.2146		 1.02385 
0.2147		 1.02388 
0.2148		 1.0239 
0.2149		 1.02392 
0.215		 1.02395 
0.2151		 1.02397 
0.2152		 1.02399 
0.2153		 1.02402 
0.2154		 1.02404 
0.2155		 1.02406 
0.2156		 1.02408 
0.2157		 1.02411 
0.2158		 1.02413 
0.2159		 1.02415 
0.216		 1.02418 
0.2161		 1.0242 
0.2162		 1.02422 
0.2163		 1.02425 
0.2164		 1.02427 
0.2165		 1.02429 
0.2166		 1.02432 
0.2167		 1.02434 
0.2168		 1.02436 
0.2169		 1.02439 
0.217		 1.02441 
0.2171		 1.02443 
0.2172		 1.02446 
0.2173		 1.02448 
0.2174		 1.0245 
0.2175		 1.02453 
0.2176		 1.02455 
0.2177		 1.02457 
0.2178		 1.0246 
0.2179		 1.02462 
0.218		 1.02464 
0.2181		 1.02467 
0.2182		 1.02469 
0.2183		 1.02471 
0.2184		 1.02474 
0.2185		 1.02476 
0.2186		 1.02478 
0.2187		 1.02481 
0.2188		 1.02483 
0.2189		 1.02486 
0.219		 1.02488 
0.2191		 1.0249 
0.2192		 1.02493 
0.2193		 1.02495 
0.2194		 1.02497 
0.2195		 1.025 
0.2196		 1.02502 
0.2197		 1.02504 
0.2198		 1.02507 
0.2199		 1.02509 
0.22		 1.02512 
0.2201		 1.02514 
0.2202		 1.02516 
0.2203		 1.02519 
0.2204		 1.02521 
0.2205		 1.02523 
0.2206		 1.02526 
0.2207		 1.02528 
0.2208		 1.02531 
0.2209		 1.02533 
0.221		 1.02535 
0.2211		 1.02538 
0.2212		 1.0254 
0.2213		 1.02542 
0.2214		 1.02545 
0.2215		 1.02547 
0.2216		 1.0255 
0.2217		 1.02552 
0.2218		 1.02554 
0.2219		 1.02557 
0.222		 1.02559 
0.2221		 1.02562 
0.2222		 1.02564 
0.2223		 1.02566 
0.2224		 1.02569 
0.2225		 1.02571 
0.2226		 1.02574 
0.2227		 1.02576 
0.2228		 1.02578 
0.2229		 1.02581 
0.223		 1.02583 
0.2231		 1.02586 
0.2232		 1.02588 
0.2233		 1.0259 
0.2234		 1.02593 
0.2235		 1.02595 
0.2236		 1.02598 
0.2237		 1.026 
0.2238		 1.02603 
0.2239		 1.02605 
0.224		 1.02607 
0.2241		 1.0261 
0.2242		 1.02612 
0.2243		 1.02615 
0.2244		 1.02617 
0.2245		 1.02619 
0.2246		 1.02622 
0.2247		 1.02624 
0.2248		 1.02627 
0.2249		 1.02629 
0.225		 1.02632 
0.2251		 1.02634 
0.2252		 1.02636 
0.2253		 1.02639 
0.2254		 1.02641 
0.2255		 1.02644 
0.2256		 1.02646 
0.2257		 1.02649 
0.2258		 1.02651 
0.2259		 1.02654 
0.226		 1.02656 
0.2261		 1.02658 
0.2262		 1.02661 
0.2263		 1.02663 
0.2264		 1.02666 
0.2265		 1.02668 
0.2266		 1.02671 
0.2267		 1.02673 
0.2268		 1.02676 
0.2269		 1.02678 
0.227		 1.0268 
0.2271		 1.02683 
0.2272		 1.02685 
0.2273		 1.02688 
0.2274		 1.0269 
0.2275		 1.02693 
0.2276		 1.02695 
0.2277		 1.02698 
0.2278		 1.027 
0.2279		 1.02703 
0.228		 1.02705 
0.2281		 1.02708 
0.2282		 1.0271 
0.2283		 1.02713 
0.2284		 1.02715 
0.2285		 1.02718 
0.2286		 1.0272 
0.2287		 1.02722 
0.2288		 1.02725 
0.2289		 1.02727 
0.229		 1.0273 
0.2291		 1.02732 
0.2292		 1.02735 
0.2293		 1.02737 
0.2294		 1.0274 
0.2295		 1.02742 
0.2296		 1.02745 
0.2297		 1.02747 
0.2298		 1.0275 
0.2299		 1.02752 
0.23		 1.02755 
0.2301		 1.02757 
0.2302		 1.0276 
0.2303		 1.02762 
0.2304		 1.02765 
0.2305		 1.02767 
0.2306		 1.0277 
0.2307		 1.02772 
0.2308		 1.02775 
0.2309		 1.02777 
0.231		 1.0278 
0.2311		 1.02782 
0.2312		 1.02785 
0.2313		 1.02787 
0.2314		 1.0279 
0.2315		 1.02792 
0.2316		 1.02795 
0.2317		 1.02797 
0.2318		 1.028 
0.2319		 1.02802 
0.232		 1.02805 
0.2321		 1.02807 
0.2322		 1.0281 
0.2323		 1.02813 
0.2324		 1.02815 
0.2325		 1.02818 
0.2326		 1.0282 
0.2327		 1.02823 
0.2328		 1.02825 
0.2329		 1.02828 
0.233		 1.0283 
0.2331		 1.02833 
0.2332		 1.02835 
0.2333		 1.02838 
0.2334		 1.0284 
0.2335		 1.02843 
0.2336		 1.02845 
0.2337		 1.02848 
0.2338		 1.02851 
0.2339		 1.02853 
0.234		 1.02856 
0.2341		 1.02858 
0.2342		 1.02861 
0.2343		 1.02863 
0.2344		 1.02866 
0.2345		 1.02868 
0.2346		 1.02871 
0.2347		 1.02873 
0.2348		 1.02876 
0.2349		 1.02879 
0.235		 1.02881 
0.2351		 1.02884 
0.2352		 1.02886 
