Beta (v/c)	 Gamma 
0.0275		 1.00038 
0.0276		 1.00038 
0.0277		 1.00038 
0.0278		 1.00039 
0.0279		 1.00039 
0.028		 1.00039 
0.0281		 1.0004 
0.0282		 1.0004 
0.0283		 1.0004 
0.0284		 1.0004 
0.0285		 1.00041 
0.0286		 1.00041 
0.0287		 1.00041 
0.0288		 1.00041 
0.0289		 1.00042 
0.029		 1.00042 
0.0291		 1.00042 
0.0292		 1.00043 
0.0293		 1.00043 
0.0294		 1.00043 
0.0295		 1.00044 
0.0296		 1.00044 
0.0297		 1.00044 
0.0298		 1.00044 
0.0299		 1.00045 
0.03		 1.00045 
0.0301		 1.00045 
0.0302		 1.00046 
0.0303		 1.00046 
0.0304		 1.00046 
0.0305		 1.00047 
0.0306		 1.00047 
0.0307		 1.00047 
0.0308		 1.00047 
0.0309		 1.00048 
0.031		 1.00048 
0.0311		 1.00048 
0.0312		 1.00049 
0.0313		 1.00049 
0.0314		 1.00049 
0.0315		 1.0005 
0.0316		 1.0005 
0.0317		 1.0005 
0.0318		 1.00051 
0.0319		 1.00051 
0.032		 1.00051 
0.0321		 1.00052 
0.0322		 1.00052 
0.0323		 1.00052 
0.0324		 1.00053 
0.0325		 1.00053 
0.0326		 1.00053 
0.0327		 1.00054 
0.0328		 1.00054 
0.0329		 1.00054 
0.033		 1.00054 
0.0331		 1.00055 
0.0332		 1.00055 
0.0333		 1.00055 
0.0334		 1.00056 
0.0335		 1.00056 
0.0336		 1.00056 
0.0337		 1.00057 
0.0338		 1.00057 
0.0339		 1.00058 
0.034		 1.00058 
0.0341		 1.00058 
0.0342		 1.00059 
0.0343		 1.00059 
0.0344		 1.00059 
0.0345		 1.0006 
0.0346		 1.0006 
0.0347		 1.0006 
0.0348		 1.00061 
0.0349		 1.00061 
0.035		 1.00061 
0.0351		 1.00062 
0.0352		 1.00062 
0.0353		 1.00062 
0.0354		 1.00063 
0.0355		 1.00063 
0.0356		 1.00063 
0.0357		 1.00064 
0.0358		 1.00064 
0.0359		 1.00065 
0.036		 1.00065 
0.0361		 1.00065 
0.0362		 1.00066 
0.0363		 1.00066 
0.0364		 1.00066 
0.0365		 1.00067 
0.0366		 1.00067 
0.0367		 1.00067 
0.0368		 1.00068 
0.0369		 1.00068 
0.037		 1.00069 
0.0371		 1.00069 
0.0372		 1.00069 
0.0373		 1.0007 
0.0374		 1.0007 
0.0375		 1.0007 
0.0376		 1.00071 
0.0377		 1.00071 
0.0378		 1.00072 
0.0379		 1.00072 
0.038		 1.00072 
0.0381		 1.00073 
0.0382		 1.00073 
0.0383		 1.00073 
0.0384		 1.00074 
0.0385		 1.00074 
0.0386		 1.00075 
0.0387		 1.00075 
0.0388		 1.00075 
0.0389		 1.00076 
0.039		 1.00076 
0.0391		 1.00077 
0.0392		 1.00077 
0.0393		 1.00077 
0.0394		 1.00078 
0.0395		 1.00078 
0.0396		 1.00079 
0.0397		 1.00079 
0.0398		 1.00079 
0.0399		 1.0008 
0.04		 1.0008 
0.0401		 1.0008 
0.0402		 1.00081 
0.0403		 1.00081 
0.0404		 1.00082 
0.0405		 1.00082 
0.0406		 1.00083 
0.0407		 1.00083 
0.0408		 1.00083 
0.0409		 1.00084 
0.041		 1.00084 
0.0411		 1.00085 
