   -11      26.00     
   -10      6.00     
   -5       1.04 
    0       0.00 
    5       0.21 
   10       0.28 
   25       0.71 
   50       0.98 
   75       1.19 
  100       2.30 
  125       3.42 
  400       5.92 


