ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i
1.916145,1.074123,1.529699,1.895193,9.229853,3.662356,0.569772
2.19348,1.591957,2.134827,2.423874,5.947753,2.37019,0.6821223
2.943354,1.831631,3.024191,3.650747,3.668805,1.440216,0.6461099
1.684647,1.705507,2.766235,3.216883,3.477131,1.318433,0.8818514
0.6193237,1.188288,1.92034,2.34128,4.584577,2.262386,0.6879278
1.413017,0.7658005,1.176157,1.505468,6.790416,3.166635,0.4089297
1.221846,1.09981,2.127279,2.211876,4.020753,1.968271,0.5390723
0.7339211,2.19342,3.410059,3.923656,3.057371,1.04238,0.6640819
1.526522,1.744938,2.969252,3.422102,3.658437,1.268464,0.5082017
0.8433151,1.391809,2.287605,2.76605,2.655142,1.248917,0.5298304
0.5483379,1.195551,2.411701,3.041145,3.417944,2.045601,0.9323716
2.540533,1.535288,2.529966,2.94916,7.046097,1.296834,0.5871437
0.8497849,0.389925,0.7910137,0.7565422,2.506938,1.175895,0.7279758
1.955519,0.9299488,1.36113,1.71409,2.91699,1.460186,0.6669586
1.151796,1.419722,2.741749,3.471378,2.632978,1.300777,0.644517
1.819431,1.646191,2.530773,2.898518,2.618172,1.312968,0.9110811
1.573544,1.437578,2.438461,2.839172,1.863498,0.9281737,0.5052397
1.248615,1.365187,2.161602,2.606169,3.419613,1.275043,0.4018732
3.654213,1.907681,2.6113,3.083311,4.974581,1.985428,0.7332225
3.842501,1.846182,2.495724,2.893396,4.291286,1.723913,0.8179141
0.6169548,2.282921,3.202646,3.659418,4.591393,2.020152,0.4950804
4.738699,1.744532,2.415272,2.765123,3.060627,1.351945,0.599886
2.373577,0.9742489,1.683214,2.170637,3.900875,1.492345,0.6172658
2.154062,1.756714,2.491671,2.959002,3.196944,1.385272,0.8500246
0.5789909,1.669718,2.728661,3.181732,4.536983,0.9690069,0.4704112
2.103781,1.631149,2.476576,2.974913,43.76703,1.203896,0.488699
1.870584,1.739336,2.480572,2.940639,21.77837,1.59411,0.6399453
3.088814,1.696928,2.634346,3.159641,2.601493,1.305033,0.5505874
0.9645214,1.619699,2.642914,3.184414,2.154913,0.9722465,0.9991189
0.1763363,2.02594,3.190075,3.782854,2.930384,1.497743,0.3863332
1.987982,1.862652,2.686975,3.079304,2.621456,1.161441,0.7169368
1.080597,1.573923,2.684261,3.261023,2.676111,1.37757,0.999984
2.070011,2.026037,2.890808,3.463774,2.534473,1.29521,0.6001242
1.298399,1.751776,2.663679,3.327183,3.425226,1.523301,0.424749
3.063562,1.578604,2.49777,2.941751,2.458665,1.436143,0.9998683
1.627769,0.6028194,0.9921818,1.223503,4.442239,2.001692,0.3406375
1.292336,0.3928928,0.6346912,0.8026924,7.980908,2.510897,0.668026
2.2999,1.541431,2.100828,2.45454,4.668763,2.061947,0.7504196
1.730419,0.8698006,1.256016,1.569517,4.688128,1.961388,0.9905503
3.605389,1.74404,2.354504,2.737415,8.147226,1.023063,0.9065979
1.288181,0.6232967,0.9841976,1.144213,7.038523,3.105081,0.1631857
1.647102,1.696133,2.318544,2.782387,4.522524,1.531793,0.9927122
0.4313107,1.738792,2.600218,2.996054,3.973463,1.582523,0.4832693
2.057171,1.548452,2.112707,2.500126,5.274737,2.011929,0.655127
1.133818,0.6531029,0.9800625,1.208544,4.854634,2.417049,0.9001222
1.740799,1.019634,1.48686,1.799055,5.674158,2.407485,0.6970915
5.467789,2.173834,3.192503,3.908369,68.26881,2.180563,0.9078513
1.574064,0.8131237,1.213736,1.521282,19.13293,8.231104,0.4499927
1.373558,1.754248,2.758844,3.177986,2.460614,1.049812,0.2999336
2.127962,0.8812008,1.255308,1.569559,4.97099,2.212055,0.6012937
1.73855,1.91609,2.560509,3.064651,3.044842,1.386436,0.9485316
1.552015,0.6826706,1.034189,1.278299,9.512537,4.699189,0.7499657
1.780504,0.8016777,1.241766,1.5741,4.650496,2.366285,0.5500208
1.942276,1.034027,1.491851,1.878221,5.767223,2.416548,0.4631316
1.790096,0.7729721,1.116057,1.447792,11.88276,5.372859,0.8734931
1.62201,0.8024826,1.224401,1.537611,9.895464,4.193593,0.4526427
1.121283,0.4055042,0.642477,0.716733,11.23271,4.362665,0.5945492
2.3964,1.003971,1.362452,1.562611,1.343079,0.7052912,0.1000256
1.091913,0.4090538,0.6378479,0.7878342,5.242366,2.349883,0.1767091
2.02109,0.9944248,1.437391,1.776287,3.110816,1.392316,0.2830485
1.87233,1.023924,1.459646,1.799413,7.72053,3.527319,0.8155684
1.904379,1.028477,1.484078,1.830684,7.102899,2.855456,0.7886116
1.809891,1.05464,1.505035,1.845526,4.434352,1.972086,0.7144099
1.910122,0.9153919,1.329262,1.631195,3.155909,1.27368,0.7451641
1.924913,0.9447403,1.375326,1.711215,9.116258,3.371894,0.8942472
1.412102,0.8409061,1.284275,1.593197,4.744168,1.95611,0.6270435
2.564791,1.777662,2.479704,2.886267,4.5225,1.826019,0.8594054
2.614286,1.357559,2.353006,2.870975,1.216032,0.6436357,0.09999955
1.381979,0.5609779,0.8133278,1.015661,6.252338,2.794915,0.3956958
1.38138,0.5253201,0.8402958,0.9950275,7.42326,3.470454,0.5089489
1.684797,0.8108959,1.20632,1.52462,9.61904,3.94027,0.5611033
1.313488,1.794739,2.377617,2.800549,3.344835,1.712885,0.6453818
1.89263,0.8995285,1.288568,1.635769,3.094836,1.306863,0.5022492
1.406147,0.9579086,1.393696,1.729715,5.74296,2.813441,0.9426256
2.391165,1.918476,2.575655,2.8839,5.501634,2.338097,0.7334464
1.549362,1.860834,2.528669,2.945189,3.599042,1.684,0.9011179
2.394859,1.0865,1.511885,1.886789,3.618495,1.64807,0.511053
1.551991,0.7437477,1.130682,1.415768,6.883721,3.361134,0.7324798
2.576197,1.061686,1.579651,1.976725,5.480654,2.324594,0.5574645
1.894697,1.74152,2.417149,2.640959,2.715343,1.232713,0.6243229
2.546259,1.661453,2.258137,2.599104,3.487867,1.689233,0.8642089
1.194687,1.962206,3.404531,4.098505,5.714798,2.094908,0.9998322
1.676512,0.7911625,1.235691,1.572243,4.407607,1.898809,0.1787091
1.501335,0.8916416,1.252979,1.602588,8.436571,3.394874,0.7238452
2.14727,1.027445,1.456693,1.814173,4.909567,2.057165,0.8147436
1.712919,0.8492031,1.24395,1.518909,2.53395,1.133949,0.7580688
2.10231,0.9554272,1.398304,1.751862,8.101495,2.779783,0.7623315
1.949682,1.072245,1.529772,1.873663,4.730365,1.650126,0.748785
2.656643,1.373335,2.452532,3.061821,1.429209,0.7531365,0.1705626
2.069033,0.8691826,1.27,1.594503,4.41361,1.94748,0.6640796
1.852365,1.291487,1.778259,2.118767,4.73568,1.985849,0.8772482
2.312899,1.330076,1.817989,2.195274,2.768511,1.399091,0.6615521
2.073586,1.350065,1.846413,2.20554,4.299704,1.921001,0.7699729
1.099741,0.4737129,0.8074026,1.003313,5.483973,2.684186,0.748993
